cidade,uf,regiao,codmun,pop_dou_2017,Jornal,Online,Rádio,Revista,Televisão,tipos_existentes,total_fontes,fontes_100k_hab
ÁGUAS DE SÃO PEDRO,SP,Sudeste,3500600,3268,0,0,1,0,0,Um,1,30.5997552019584
ÁGUAS FORMOSAS,MG,Sudeste,3100906,19416,0,0,1,0,1,Vários,2,10.3007828594973
ÁGUAS FRIAS,SC,Sul,4200556,2387,0,0,0,0,0,Nenhum,0,0
ÁGUAS LINDAS DE GOIÁS,GO,Centro-Oeste,5200258,195810,1,1,0,0,1,Vários,3,1.53209744139727
ÁGUAS MORNAS,SC,Sul,4200606,6298,0,0,0,0,0,Nenhum,0,0
ÁGUAS VERMELHAS,MG,Sudeste,3101003,13576,0,0,0,0,1,Um,1,7.36593989393047
AGUDO,RS,Sul,4300109,17085,2,0,1,0,1,Vários,4,23.4123500146327
AGUDOS,SP,Sudeste,3500709,36880,1,0,0,0,0,Um,1,2.7114967462039
AGUDOS DO SUL,PR,Sul,4100301,9161,0,0,0,0,0,Nenhum,0,0
ÁGUIA BRANCA,ES,Sudeste,3200136,10085,0,0,0,0,0,Nenhum,0,0
AGUIAR,PB,Nordeste,2500205,5562,0,0,0,0,0,Nenhum,0,0
AGUIARNÓPOLIS,TO,Norte,1700301,6460,0,0,0,0,0,Nenhum,0,0
AIMORÉS,MG,Sudeste,3101102,25711,0,0,2,0,1,Vários,3,11.6681575979153
AIQUARA,BA,Nordeste,2900603,4725,0,0,0,0,0,Nenhum,0,0
AIUABA,CE,Nordeste,2300408,17194,0,0,0,0,0,Nenhum,0,0
AIURUOCA,MG,Sudeste,3101201,6209,0,0,0,0,1,Um,1,16.1056530842326
AJURICABA,RS,Sul,4300208,7358,0,0,0,0,1,Um,1,13.5906496330525
ALAGOA,MG,Sudeste,3101300,2752,0,0,0,0,0,Nenhum,0,0
ALAGOA GRANDE,PB,Nordeste,2500304,28565,0,0,0,0,1,Um,1,3.50078767722738
ALAGOA NOVA,PB,Nordeste,2500403,20689,0,0,0,0,0,Nenhum,0,0
ALAGOINHA,PB,Nordeste,2500502,14464,0,0,0,0,0,Nenhum,0,0
